Symbol,Name,Ticker,Category,LaunchYear,DataRows,FirstDate,LastDate
BTC,Bitcoin,BTC-USD,Layer 1,2009,4171,2014-09-17,2026-02-16
ETH,Ethereum,ETH-USD,Layer 1 / Smart Contracts,2015,3022,2017-11-09,2026-02-16
USDT,Tether,USDT-USD,Stablecoin,2014,3022,2017-11-09,2026-02-16
XRP,XRP,XRP-USD,Payment,2012,3022,2017-11-09,2026-02-16
BNB,BNB,BNB-USD,Exchange,2017,3022,2017-11-09,2026-02-16
SOL,Solana,SOL-USD,Layer 1,2020,2139,2020-04-10,2026-02-16
USDC,USD Coin,USDC-USD,Stablecoin,2018,2689,2018-10-08,2026-02-16
DOGE,Dogecoin,DOGE-USD,Meme,2013,3022,2017-11-09,2026-02-16
ADA,Cardano,ADA-USD,Layer 1,2017,3022,2017-11-09,2026-02-16
TRX,TRON,TRX-USD,Layer 1,2017,3022,2017-11-09,2026-02-16
AVAX,Avalanche,AVAX-USD,Layer 1,2020,1976,2020-07-13,2026-02-16
LINK,Chainlink,LINK-USD,Oracle,2017,3022,2017-11-09,2026-02-16
TON11419,Toncoin,TON11419-USD,Layer 1,2018,1635,2021-08-27,2026-02-16
SHIB,Shiba Inu,SHIB-USD,Meme,2020,1985,2020-08-01,2026-02-16
SUI20947,Sui,SUI20947-USD,Layer 1,2023,1021,2023-05-03,2026-02-16
XLM,Stellar,XLM-USD,Payment,2014,3022,2017-11-09,2026-02-16
DOT,Polkadot,DOT-USD,Layer 1,2020,2007,2020-08-20,2026-02-16
HBAR,Hedera,HBAR-USD,Layer 1,2019,2345,2019-09-17,2026-02-16
BCH,Bitcoin Cash,BCH-USD,Payment,2017,3022,2017-11-09,2026-02-16
LTC,Litecoin,LTC-USD,Payment,2011,4171,2014-09-17,2026-02-16
UNI7083,Uniswap,UNI7083-USD,DeFi,2020,1978,2020-09-18,2026-02-16
HYPE,Hyperliquid,HYPE-USD,DeFi,2024,1324,2021-01-12,2024-08-27
NEAR,NEAR Protocol,NEAR-USD,Layer 1,2020,1952,2020-10-14,2026-02-16
PEPE24478,Pepe,PEPE24478-USD,Meme,2023,1037,2023-04-17,2026-02-16
DAI,Dai,DAI-USD,Stablecoin,2017,2279,2019-11-22,2026-02-16
AAVE,Aave,AAVE-USD,DeFi,2020,1964,2020-10-02,2026-02-16
ICP,Internet Computer,ICP-USD,Layer 1,2021,1744,2021-05-10,2026-02-16
APT21794,Aptos,APT21794-USD,Layer 1,2022,1217,2022-10-19,2026-02-16
ETC,Ethereum Classic,ETC-USD,Layer 1,2016,3022,2017-11-09,2026-02-16
RNDR,Render,RNDR-USD,AI / GPU,2017,1502,2020-06-11,2024-07-21
KAS,Kaspa,KAS-USD,Layer 1,2021,1357,2022-06-01,2026-02-16
MATIC,Polygon,MATIC-USD,Layer 2,2019,2158,2019-04-28,2025-03-24
CRO,Cronos,CRO-USD,Exchange,2018,2622,2018-12-14,2026-02-16
VET,VeChain,VET-USD,Supply Chain,2018,2755,2018-08-03,2026-02-16
ATOM,Cosmos,ATOM-USD,Layer 1,2019,2532,2019-03-14,2026-02-16
FIL,Filecoin,FIL-USD,Storage,2020,2988,2017-12-13,2026-02-16
XMR,Monero,XMR-USD,Privacy,2014,3022,2017-11-09,2026-02-16
ALGO,Algorand,ALGO-USD,Layer 1,2019,2433,2019-06-21,2026-02-16
ARB11841,Arbitrum,ARB11841-USD,Layer 2,2023,1062,2023-03-23,2026-02-16
FTM,Fantom,FTM-USD,Layer 1,2018,2268,2018-10-30,2025-01-13
BONK,Bonk,BONK-USD,Meme,2022,1145,2022-12-30,2026-02-16
THETA,Theta,THETA-USD,Video,2018,2953,2018-01-17,2026-02-16
MKR,Maker,MKR-USD,DeFi,2017,3011,2017-11-20,2026-02-16
GRT6719,The Graph,GRT6719-USD,Indexing,2020,1887,2020-12-18,2026-02-16
INJ,Injective,INJ-USD,DeFi,2020,1945,2020-10-21,2026-02-16
STX4847,Stacks,STX4847-USD,Layer 2,2019,2303,2019-10-29,2026-02-16
MNT,Mantle,MNT-USD,Layer 2,2023,468,2022-09-29,2024-01-09
IMX10603,Immutable,IMX10603-USD,Gaming,2021,1564,2021-11-06,2026-02-16
FLOKI,Floki,FLOKI-USD,Meme,2021,1677,2021-07-10,2026-02-16
FET,Fetch.ai,FET-USD,AI,2019,2544,2019-03-02,2026-02-16
